gap,date,break_hour,break_time,broken_level,broken_side,contract,direction,extension_pct,extension_pts,first_break_time,gap_minutes,held_all_day,ib1_first_break_side,ib1_first_break_time,ib1_outcome,ib1_range,ib2_break_time,ib2_first_break_side,ib2_outcome,ib2_range,min_distance_pct,min_distance_pts,ratio,second_break_time,side,unbroken_level
1,2021-12-09,,,16269.5,,,,90.0,130.25,,,,,,BOTH,,,,,144.75,,,,,LOW,
1,2021-12-13,,,16194.75,,,,84.5,122.25,,,,,,L_ONLY,,,,,144.75,,,,,LOW,
1,2021-12-14,,,15853.0,,,,81.6,119.0,,,,,,L_ONLY,,,,,145.75,,,,,LOW,
1,2021-12-16,,,16090.75,,,,118.5,297.75,,,,,,L_ONLY,,,,,251.25,,,,,LOW,
1,2021-12-17,,,15843.0,,,,59.3,113.5,,,,,,BOTH,,,,,191.25,,,,,HIGH,
1,2021-12-22,,,16044.75,,,,119.1,132.75,,,,,,H_ONLY,,,,,111.5,,,,,HIGH,
1,2021-12-23,,,16272.75,,,,86.5,83.25,,,,,,H_ONLY,,,,,96.25,,,,,HIGH,
1,2021-12-27,,,16506.75,,,,35.0,56.75,,,,,,BOTH,,,,,162.25,,,,,HIGH,
1,2021-12-28,,,16491.5,,,,33.5,39.25,,,,,,L_ONLY,,,,,117.0,,,,,LOW,
1,2021-12-30,,,16449.25,,,,32.1,38.0,,,,,,BOTH,,,,,118.25,,,,,LOW,
1,2021-12-31,,,16354.0,,,,36.6,40.25,,,,,,BOTH,,,,,110.0,,,,,LOW,
1,2022-01-03,,,16484.75,,,,6.9,13.25,,,,,,BOTH,,,,,192.75,,,,,HIGH,
