cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,agg_bars_held
3403,2025-W46,GOOD,2025-11-12 13:29:59,2025-11-12 13:32:16,SHORT,25610.25,25610.25,REVERSAL,1,2,40.0,193.0,1740,24.0,40.0,8
3404,2025-W46,GOOD,2025-11-12 13:36:29,2025-11-12 13:37:44,LONG,25606.5,25616.5,REVERSAL,0,1,40.0,196.5,509,40.0,10.0,3
3405,2025-W46,GOOD,2025-11-12 13:44:26,2025-11-12 13:47:21,LONG,25611.0,25591.0,HARD_STOP,1,2,-120.0,-607.0,2969,20.0,60.0,12
3406,2025-W46,GOOD,2025-11-12 13:51:38,2025-11-12 13:53:58,SHORT,25613.25,25603.25,REVERSAL,0,1,40.0,196.5,1259,40.0,20.0,6
3407,2025-W46,GOOD,2025-11-12 13:53:58,2025-11-12 13:55:13,LONG,25603.25,25613.25,REVERSAL,0,1,40.0,196.5,332,40.0,0.0,2
3408,2025-W46,GOOD,2025-11-12 14:02:39,2025-11-12 14:04:17,SHORT,25614.25,25614.25,REVERSAL,1,2,40.0,193.0,1117,23.0,40.0,5
3409,2025-W46,GOOD,2025-11-12 14:07:32,2025-11-12 14:08:14,LONG,25592.0,25602.25,REVERSAL,0,1,41.0,201.5,404,41.0,1.0,2
3410,2025-W46,GOOD,2025-11-12 14:10:49,2025-11-12 14:11:38,SHORT,25611.25,25601.25,REVERSAL,0,1,40.0,196.5,405,40.0,5.0,2
3411,2025-W46,GOOD,2025-11-12 14:16:28,2025-11-12 14:19:09,LONG,25592.5,25592.5,REVERSAL,1,2,40.0,193.0,1567,20.0,40.0,7
3412,2025-W46,GOOD,2025-11-12 14:22:38,2025-11-12 14:23:27,LONG,25587.25,25597.25,REVERSAL,0,1,40.0,196.5,528,40.0,12.0,3
3413,2025-W46,GOOD,2025-11-12 14:23:38,2025-11-12 14:25:17,LONG,25587.5,25597.5,REVERSAL,0,1,40.0,196.5,691,40.0,5.0,4
